Element Label,X1_IP0,X2_IP0,X3_IP0,S11_IP0,S22_IP0,S33_IP0,S12_IP0,S13_IP0,S23_IP0,X1_IP1,X2_IP1,X3_IP1,S11_IP1,S22_IP1,S33_IP1,S12_IP1,S13_IP1,S23_IP1,X1_IP2,X2_IP2,X3_IP2,S11_IP2,S22_IP2,S33_IP2,S12_IP2,S13_IP2,S23_IP2,X1_IP3,X2_IP3,X3_IP3,S11_IP3,S22_IP3,S33_IP3,S12_IP3,S13_IP3,S23_IP3,X1_IP4,X2_IP4,X3_IP4,S11_IP4,S22_IP4,S33_IP4,S12_IP4,S13_IP4,S23_IP4,X1_IP5,X2_IP5,X3_IP5,S11_IP5,S22_IP5,S33_IP5,S12_IP5,S13_IP5,S23_IP5,X1_IP6,X2_IP6,X3_IP6,S11_IP6,S22_IP6,S33_IP6,S12_IP6,S13_IP6,S23_IP6,X1_IP7,X2_IP7,X3_IP7,S11_IP7,S22_IP7,S33_IP7,S12_IP7,S13_IP7,S23_IP7,Instance
32.0,-5.789394378662109,-5.27599573135376,2.1918139457702637,-7.13059663772583,-11.741384506225586,-64.10448455810547,9.900506019592285,-6.2505059242248535,-3.4824841022491455,-5.793279647827148,-5.245731353759766,2.376329183578491,-2.4979214668273926,-7.667020797729492,-53.663509368896484,8.694083213806152,0.019715571776032448,1.1682939529418945,-5.617557525634766,-5.231489181518555,2.3138959407806396,-4.757147312164307,-0.4497760534286499,-19.148395538330078,1.574432373046875,-0.14699479937553406,-1.764585018157959,-5.781018257141113,-5.048577785491943,2.313894748687744,4.362702369689941,-5.452516555786133,-16.631202697753906,3.685580253601074,-2.903442859649658,-4.716850280761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
33.0,-6.109780311584473,-5.2274017333984375,2.078468084335327,-4.760467529296875,-4.294900417327881,-39.56191635131836,8.415167808532715,9.70343017578125,-2.446539878845215,-6.290585517883301,-5.267382621765137,2.2252025604248047,-9.747554779052734,-6.543241500854492,-32.59178924560547,5.87859582901001,11.643425941467285,10.612600326538086,-6.099865436553955,-4.998605728149414,2.200562000274658,-1.1762466430664062,-5.904819965362549,-36.868858337402344,7.578657627105713,-4.884632587432861,-3.3293612003326416,-6.288191795349121,-5.0321364402771,2.051670551300049,2.903877019882202,-5.325657367706299,-32.42026138305664,8.225515365600586,-3.724184989929199,11.723672866821289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
49.0,-1.3715871572494507,-7.704999923706055,2.2443759441375732,-14.942004203796387,7.987175941467285,-54.10570526123047,2.9003493785858154,-6.462228298187256,-5.571563720703125,-1.4256651401519775,-7.531636714935303,2.3507752418518066,-4.557422637939453,-0.6238070726394653,-23.464941024780273,2.884615659713745,-6.543171405792236,0.17812179028987885,-1.3194992542266846,-7.670285224914551,2.458249807357788,-13.915056228637695,1.409408688545227,-45.15892791748047,2.6283466815948486,-4.484024524688721,3.441962957382202,-1.1838237047195435,-7.572727203369141,2.350759983062744,-6.460158824920654,4.5965576171875,-21.088224411010742,0.3976544439792633,-4.020451545715332,1.2852622270584106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
50.0,-1.2976088523864746,-7.904938220977783,2.258103609085083,-10.453825950622559,-1.731208324432373,-50.830135345458984,2.252938747406006,-15.44505786895752,10.046425819396973,-1.1094995737075806,-7.770627021789551,2.364494800567627,-13.374272346496582,6.052089214324951,-19.532562255859375,4.452522277832031,-1.0673418045043945,-0.20855559408664703,-1.2455202341079712,-7.870218753814697,2.4719831943511963,-6.001515865325928,1.0410417318344116,-41.88206481933594,-0.673841118812561,0.587887167930603,0.6754364371299744,-1.2297265529632568,-8.06017780303955,2.387119770050049,-8.595234870910645,3.194047451019287,-11.785706520080566,6.742201805114746,-2.3779776096343994,7.4941534996032715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
93.0,-7.134749889373779,-5.6866888999938965,2.26765513420105,-1.6463472843170166,-5.024450302124023,-12.714468955993652,-1.401127815246582,-0.6116337776184082,5.192854881286621,-6.8758649826049805,-5.725010871887207,2.4556846618652344,-5.587800025939941,-4.4529643058776855,-9.31752872467041,0.49039751291275024,8.333806991577148,4.825178623199463,-7.065215587615967,-5.759330749511719,2.6497459411621094,-6.951289176940918,-5.6092047691345215,-19.06137466430664,-0.8102491497993469,7.430310249328613,3.1041784286499023,-7.01772403717041,-5.9387593269348145,2.484328508377075,-1.2859989404678345,-3.498258352279663,-3.7534546852111816,2.133901834487915,4.377274513244629,0.8302496075630188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
94.0,-7.060718536376953,-5.750153541564941,2.039067029953003,1.8866900205612183,-1.4268054962158203,4.50935697555542,0.6175584197044373,-1.0645215511322021,3.5460104942321777,-6.943699359893799,-6.002227783203125,2.255744695663452,-8.228471755981445,-2.551462173461914,-16.807186126708984,0.40137967467308044,8.869654655456543,4.649044036865234,-6.869260311126709,-5.927342414855957,2.044670581817627,-7.924984931945801,-1.4891438484191895,-18.16123390197754,-1.5159786939620972,5.450819492340088,-0.2094627320766449,-6.801839828491211,-5.788478851318359,2.2271006107330322,1.177045464515686,-4.972876071929932,-5.860874176025391,0.07498200982809067,0.3439299464225769,-0.22254440188407898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
96.0,-6.973141670227051,-5.47755765914917,1.9163000583648682,-2.139212131500244,-1.569570541381836,2.7063815593719482,-1.4697641134262085,1.5583869218826294,4.747116565704346,-6.781683921813965,-5.654745101928711,1.9218971729278564,-4.352542400360107,-3.794323205947876,-8.71031665802002,-1.2693263292312622,1.8948856592178345,0.39227280020713806,-6.71187686920166,-5.280642032623291,1.9307904243469238,-5.061889171600342,-8.940362930297852,-26.62374496459961,3.1057558059692383,7.819385051727295,15.83758544921875,-6.714263439178467,-5.51588249206543,2.1043317317962646,-7.271184921264648,-9.597343444824219,-27.043842315673828,1.4094382524490356,5.214723587036133,5.963169574737549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
97.0,-7.76947546005249,-5.144174575805664,2.145876884460449,-2.3452131748199463,-2.088782548904419,-7.9446611404418945,-0.6211784482002258,6.883654594421387,-1.4106119871139526,-7.873443126678467,-4.972297668457031,2.527972459793091,-5.51582145690918,-6.464476108551025,-15.345245361328125,-0.5404900312423706,5.307826519012451,4.1396708488464355,-7.955719470977783,-4.828110218048096,2.259575605392456,-3.4468600749969482,-3.0898361206054688,-4.399316787719727,-0.5718116760253906,2.5700433254241943,4.586308002471924,-8.079249382019043,-5.101613998413086,2.2363059520721436,-2.234628915786743,1.4197860956192017,2.62947154045105,-0.7235544919967651,1.2124372720718384,0.0033970167860388756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
98.0,-8.126119613647461,-5.555119514465332,2.454181671142578,-1.6564509868621826,-0.40575432777404785,-1.2796039581298828,-2.4728662967681885,2.543398141860962,4.3836588859558105,-7.74456262588501,-5.668728828430176,2.745840311050415,-1.6022281646728516,-0.045551080256700516,-2.1061525344848633,-0.4677571952342987,2.4459121227264404,3.3813047409057617,-8.126107215881348,-5.555110931396484,2.7458438873291016,-4.961297988891602,-6.377366065979004,-11.579817771911621,-1.374268651008606,5.291749000549316,5.566288948059082,-7.939092636108398,-5.8234663009643555,2.4541821479797363,3.9774272441864014,3.1271469593048096,5.651013374328613,0.828126847743988,-1.4687968492507935,-5.402385711669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
100.0,-7.602027416229248,-5.602872371673584,1.4234251976013184,-5.354473114013672,-5.56887149810791,-12.44086742401123,-0.24697662889957428,3.93497371673584,-0.2888302206993103,-7.494491100311279,-5.64520263671875,1.2222175598144531,-5.3708882331848145,-6.892538547515869,-20.79759407043457,3.613227367401123,5.186922550201416,0.7024891376495361,-7.7247700691223145,-5.828651428222656,1.2221925258636475,1.969040870666504,2.4759347438812256,5.803149223327637,-1.6537996530532837,-1.6123936176300049,0.04252929240465164,-7.9140400886535645,-5.561900615692139,1.2221872806549072,2.979966163635254,6.781107425689697,12.845584869384766,2.752662181854248,-0.7731808423995972,-5.640896797180176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
