Element Label,X1,X2,X3,S11,S22,S33,S12,S13,S23
7794.0,3.698901653289795,6.515587329864502,1.0421000719070435,-6.743041515350342,-70.90190887451172,-0.31329062581062317,-50.96429443359375,-6.300861835479736,-21.493492126464844
7795.0,3.685443639755249,7.496048927307129,0.8787842988967896,-96.40558624267578,-114.30213165283203,-31.103740692138672,-13.122084617614746,7.893876075744629,26.998674392700195
7796.0,3.678253173828125,8.520331382751465,0.7809630632400513,-92.216064453125,-104.12016296386719,7.30255126953125,1.0471878051757812,6.455921173095703,4.732648849487305
7797.0,3.675475835800171,9.589865684509277,0.7289032340049744,-78.25115203857422,-102.95384216308594,-5.2657551765441895,-12.018220901489258,0.012717225588858128,8.753009796142578
7798.0,3.6749186515808105,10.703665733337402,0.6991922855377197,-42.20455551147461,-72.30167388916016,2.7429099082946777,-12.975165367126465,2.452881097793579,5.0342936515808105
7799.0,3.6745588779449463,11.859124183654785,0.6791282892227173,-42.14345932006836,-50.103397369384766,-2.600496530532837,-3.9359793663024902,0.052123911678791046,3.3930280208587646
7800.0,3.6744463443756104,13.05717658996582,0.6649386882781982,-33.818511962890625,-35.167240142822266,1.9521143436431885,-1.067983627319336,0.8426288366317749,2.6279351711273193
7801.0,3.674417018890381,14.299217224121094,0.6550807952880859,-31.325284957885742,-25.602994918823242,-2.045321464538574,0.7721168994903564,-0.13327361643314362,0.6243025660514832
7802.0,3.674428939819336,15.58674430847168,0.6486956477165222,-27.257644653320312,-21.487140655517578,1.9164074659347534,1.0342940092086792,0.07461116462945938,0.9164566397666931
7803.0,3.6744608879089355,16.921363830566406,0.6454800963401794,-25.876331329345703,-16.745866775512695,-1.7462843656539917,1.721714735031128,-0.0052666920237243176,0.5283522605895996
7804.0,3.6745071411132812,18.30479621887207,0.6451973915100098,-22.55133819580078,-12.898445129394531,1.4720982313156128,1.8873193264007568,-0.0003661438822746277,0.6179738640785217
7805.0,3.674558401107788,19.738807678222656,0.64762943983078,-21.02646827697754,-9.30038833618164,-1.214354395866394,2.0940091609954834,0.0626828745007515,0.44804471731185913
7806.0,3.6746153831481934,21.225234985351562,0.652564287185669,-18.09087562561035,-6.362825393676758,1.1208758354187012,2.061936140060425,-0.034670453518629074,0.4452059268951416
7807.0,3.674675226211548,22.765979766845703,0.6597940921783447,-16.527212142944336,-3.2249834537506104,-0.9077905416488647,2.0858154296875,0.04673406109213829,0.4117445945739746
7808.0,3.674736499786377,24.363035202026367,0.6691044569015503,-13.885374069213867,-0.5753206610679626,0.9254564642906189,1.992958903312683,0.033417072147130966,0.28093865513801575
7809.0,3.674794912338257,26.018434524536133,0.6802892088890076,-12.61856746673584,1.666401982307434,-0.9035520553588867,1.9367409944534302,0.0554162822663784,0.37382885813713074
7810.0,3.674853801727295,27.73432731628418,0.6931277513504028,-10.006230354309082,4.305119037628174,0.7939981818199158,1.8091260194778442,0.029973480850458145,0.41403746604919434
7811.0,3.6749112606048584,29.512910842895508,0.707366943359375,-8.57689380645752,6.490073204040527,-0.7777026891708374,1.7238303422927856,0.08479274064302444,0.2675890028476715
7812.0,3.6749706268310547,31.356487274169922,0.7227367758750916,-5.97493839263916,8.952103614807129,0.7297377586364746,1.7080576419830322,0.02074095606803894,0.40640494227409363
7813.0,3.675029993057251,33.26742172241211,0.7389218807220459,-4.535521984100342,11.034530639648438,-0.769894540309906,1.5449023246765137,-0.03501841798424721,0.22621393203735352
7814.0,3.6750903129577637,35.24818801879883,0.7555622458457947,-1.9803427457809448,13.738862991333008,0.8623057007789612,1.4924509525299072,0.02879152074456215,0.5576557517051697
7815.0,3.675150156021118,37.30134582519531,0.7722097039222717,-0.7297269105911255,16.043794631958008,-0.8364225029945374,1.3533611297607422,0.008443422615528107,0.15537922084331512
7816.0,3.675208806991577,39.42955017089844,0.7883411049842834,1.8492677211761475,18.823951721191406,0.8398680090904236,1.2154269218444824,0.0027665267698466778,0.7045198678970337
7817.0,3.675266742706299,41.635555267333984,0.8032918572425842,3.302704334259033,21.775362014770508,-1.043594479560852,1.1141225099563599,-0.012049025855958462,0.204147607088089
7818.0,3.675325632095337,43.92220687866211,0.8162574172019958,6.245070934295654,25.462482452392578,1.1065258979797363,0.9365119934082031,-0.025345297530293465,0.7036583423614502
7819.0,3.6753790378570557,46.292484283447266,0.826192319393158,7.693757057189941,29.283008575439453,-1.2565975189208984,0.7603334784507751,0.05899849161505699,0.20872868597507477
7820.0,3.675426959991455,48.74945831298828,0.8317875266075134,11.051148414611816,33.86968994140625,1.237572193145752,0.5669787526130676,0.0259716659784317,0.7646313309669495
7997.0,4.61185884475708,5.552204608917236,1.1096688508987427,21.116439819335938,-14.113312721252441,17.178667068481445,-59.18319320678711,-12.846823692321777,-21.43602752685547
7998.0,4.593749523162842,6.500607013702393,0.9440084099769592,-89.33271789550781,-118.73424530029297,-54.921756744384766,-37.89274597167969,3.245197296142578,9.437943458557129
7999.0,4.582568645477295,7.488013744354248,0.8266863226890564,-100.32290649414062,-115.48924255371094,-16.58452606201172,-6.020962715148926,10.569731712341309,19.85135841369629
8000.0,4.576496124267578,8.516799926757812,0.7568767070770264,-91.61223602294922,-104.11937713623047,5.018240451812744,-0.9135609269142151,1.162089467048645,1.4958178997039795
8001.0,4.574629306793213,9.589068412780762,0.7165941596031189,-60.81932830810547,-92.23963165283203,-1.8979146480560303,-12.258649826049805,2.012737512588501,10.633383750915527
8002.0,4.574241638183594,10.703482627868652,0.6917091012001038,-52.24626922607422,-67.66027069091797,-0.08348436653614044,-14.197417259216309,1.601564645767212,3.10135817527771
8003.0,4.573903560638428,11.859060287475586,0.6741810441017151,-40.09298324584961,-48.43583679199219,0.11907839775085449,-2.462528944015503,1.4204769134521484,4.560978412628174
8004.0,4.573812007904053,13.05716609954834,0.6616221070289612,-35.07525634765625,-32.86195755004883,-0.7491053342819214,-0.40484803915023804,0.09047050774097443,1.4440503120422363
8005.0,4.5737996101379395,14.299234390258789,0.6528429388999939,-30.79366683959961,-25.651262283325195,0.37081214785575867,1.640680193901062,0.4184727072715759,1.0275002717971802
8006.0,4.573831081390381,15.58676815032959,0.6472534537315369,-28.36709213256836,-21.205961227416992,-0.25754499435424805,1.7663155794143677,-0.17764213681221008,0.8784604072570801
